times,scores
2021-01-18 19:12:24,0.649
2021-01-18 19:32:54,0.649
2021-01-18 23:34:03,0.674
2021-01-18 23:42:48,0.814
2021-01-20 08:07:24,0.654
2021-01-20 08:35:44,0.678
2021-01-20 08:43:53,0.602
2021-01-20 08:56:22,0.678
2021-01-21 10:17:33,0.725
2021-01-21 11:04:47,1.0
2021-01-21 21:39:30,0.348
2021-01-22 09:04:24,0.625
2021-01-23 13:07:25,0.77
2021-01-24 11:04:53,1.0
2021-01-24 19:46:56,1.0
2021-01-24 21:04:30,1.0
2021-01-25 01:46:53,1.0
2021-01-26 13:16:13,0.721
2021-01-27 06:17:18,0.464
2021-01-27 06:18:15,1.0
2021-01-31 06:36:52,1.0
2021-02-03 04:18:43,1.0
2021-02-03 20:10:23,0.848
2021-02-04 14:18:31,0.781
2021-02-04 14:43:13,0.72
2021-02-04 14:55:51,0.625
2021-02-04 15:02:25,0.519
2021-02-05 10:25:37,0.693
2021-02-06 23:49:01,0.839
2021-02-09 02:06:11,0.893
2021-02-10 17:37:38,0.893
2021-02-10 17:40:15,0.893
2021-02-11 07:55:38,0.672
2021-02-11 08:01:50,0.828
2021-02-11 09:44:28,1.0
2021-02-11 10:41:05,0.672
2021-02-11 10:48:02,0.607
2021-02-11 10:49:47,0.842
2021-02-11 10:51:33,0.607
2021-02-11 10:55:34,0.253
2021-02-11 10:57:07,0.5
2021-02-11 11:07:07,1.0
2021-02-13 03:29:04,1.0
2021-02-13 04:53:46,0.579
2021-02-13 07:56:25,0.579
2021-02-13 08:06:09,0.579
2021-02-13 09:30:24,0.721
2021-02-13 09:32:41,0.721
2021-02-13 10:23:25,0.703
2021-02-13 21:13:24,0.545
2021-02-15 13:35:21,1.0
2021-02-15 18:00:26,0.451
2021-02-15 18:04:43,0.508
2021-02-16 13:34:16,1.0
2021-02-16 13:35:43,1.0
2021-02-16 13:49:57,1.0
2021-02-16 13:56:42,1.0
2021-02-16 13:57:08,0.886
2021-02-16 14:03:13,0.886
2021-02-16 14:04:10,0.886
2021-02-16 14:06:11,0.886
2021-02-16 14:07:49,0.886
2021-02-16 14:13:28,0.886
2021-02-17 07:49:38,1.0
2021-02-17 15:52:28,0.748
2021-02-20 09:45:31,0.698
2021-02-20 14:04:42,0.452
2021-02-20 17:43:33,1.0
2021-02-21 19:39:34,0.525
2021-02-22 22:34:49,1.0
2021-02-24 11:09:49,0.833
2021-02-24 11:11:07,0.514
2021-02-24 11:33:03,0.833
2021-02-24 14:52:21,0.888
2021-02-24 15:47:14,0.891
2021-02-24 15:49:33,0.642
2021-02-24 15:51:07,1.0
2021-02-24 16:00:00,1.0
2021-02-25 01:22:34,0.783
2021-02-28 19:25:04,1.0
2021-02-28 20:51:24,1.0
2021-03-03 18:35:50,0.85
2021-03-04 00:27:55,1.0
2021-03-04 00:48:36,0.741
2021-03-05 01:13:55,0.486
2021-03-05 01:41:08,0.833
2021-03-08 01:34:43,0.617
2021-03-09 15:44:01,0.538
2021-03-10 19:04:50,0.233
2021-03-10 19:05:12,0.233
2021-03-10 19:12:15,0.233
2021-03-10 19:14:46,0.233
2021-03-10 19:26:39,0.233
2021-03-11 15:19:36,0.816
2021-03-11 15:22:54,0.662
2021-03-14 08:50:06,0.577
2021-03-16 06:05:43,0.615
2021-03-16 06:10:16,0.448
2021-03-16 06:11:53,0.794
2021-03-16 06:15:59,0.448
2021-03-16 06:17:38,1.0
2021-03-16 06:29:26,0.794
2021-03-16 06:31:26,0.794
2021-03-16 06:37:58,0.448
2021-03-16 06:40:08,0.619
2021-03-17 14:57:49,0.563
2021-03-19 10:43:43,1.0
2021-03-19 12:17:09,0.821
2021-03-19 13:02:30,0.68
2021-03-19 17:33:52,0.757
2021-03-19 18:05:54,0.53
2021-03-19 18:08:02,0.757
2021-03-19 18:24:43,0.375
2021-03-19 18:27:52,0.524
2021-03-19 18:30:15,0.524
2021-03-19 18:34:08,0.691
2021-03-19 18:59:22,0.5
2021-03-19 21:19:26,0.711
